gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
HSPG2	CHI3L1	17	162	1.1736	0.1039	1.0697	0.10710845070535079	0.9962269014109203	False
TENM2	CD44	14	165	0.2756	-0.1808	0.4564	0.25362758812602726	0.9962269014109203	False
TENM2	CHI3L1	14	165	0.6665	0.1547	0.5118	0.33489479896292806	0.9962269014109203	False
CCDC120	CHI3L1	6	173	2.5456	0.1356	2.41	0.11906903905758845	0.9962269014109203	False
PTPRN	CD44	5	174	1.3908	-0.1904	1.5812	0.28517811506984103	0.9962269014109203	False
PTPRN	CHI3L1	5	174	2.5598	0.1231	2.4367	0.1000764592152878	0.9962269014109203	False
PIEZO2	CD44	16	163	0.9916	-0.2	1.1916	0.21827888121705807	0.9962269014109203	False
PIEZO2	CHI3L1	16	163	1.6829	-0.0199	1.7028	0.007096538561062842	0.9962269014109203	False
PPP1R9A	CHI3L1	5	174	-3.0977	0.157	-3.2547	0.2696272734499027	0.9962269014109203	False
RBM33	CD44	5	174	4.0235	-0.2113	4.2348	0.025661750383936838	0.9962269014109203	False
MON2	CD44	7	172	-1.1786	-0.1761	-1.0024	0.20127179537052836	0.9962269014109203	False
NLRC5	CD44	8	171	1.1696	-0.2	1.3696	0.2305327311792096	0.9962269014109203	False
MSH3	CHI3L1	6	173	1.3632	0.1356	1.2275	0.2745353333724114	0.9962269014109203	False
CTC1	CHI3L1	5	174	1.1736	0.1231	1.0505	0.10395473225367824	0.9962269014109203	False
FRMPD3	CD44	10	169	0.87	-0.2227	1.0927	0.24145468336196363	0.9962269014109203	False
AHR	CHI3L1	8	171	-0.4438	0.1726	-0.6163	0.3878617110261639	0.9962269014109203	False
PVR	CD44	5	174	-0.8116	-0.1761	-0.6355	0.2734628049344375	0.9962269014109203	False
ARID1A	CHI3L1	16	163	0.7353	0.1356	0.5997	0.24797629912034402	0.9962269014109203	False
TAS1R3	CHI3L1	5	174	1.1736	0.1452	1.0285	0.40464420958681707	0.9962269014109203	False
MYO10	CD44	13	166	-0.8116	-0.1761	-0.6355	0.21414732022298721	0.9962269014109203	False
PLA2R1	CD44	5	174	-0.45	-0.1761	-0.2739	0.4095461783497796	0.9962269014109203	False
RBM28	CHI3L1	6	173	1.4803	0.1356	1.3447	0.23104179019663615	0.9962269014109203	False
SPTA1	CHI3L1	12	167	-1.0148	0.1726	-1.1874	0.13902682809118977	0.9962269014109203	False
ZIC2	CD44	6	173	1.301	-0.2	1.5009	0.13779879111858884	0.9962269014109203	False
ZIC2	CHI3L1	6	173	1.7172	0.1107	1.6065	0.10229320171845911	0.9962269014109203	False
DOLK	CD44	7	172	2.0688	-0.2113	2.2802	0.0193205202495292	0.9962269014109203	False
FNBP1	CHI3L1	6	173	-0.6241	0.1594	-0.7835	0.4300739614277458	0.9962269014109203	False
