pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation	CD44	12	167	-0.3094	-0.1798	-0.1296	0.6842830527314252	0.9958970300880995	False
R-HSA-6784531	tRNA processing in the nucleus	CHI3L1	21	158	0.2217	0.1452	0.0766	0.5229854547853141	0.9958970300880995	False
R-HSA-6784531	tRNA processing in the nucleus	CD44	21	158	-0.2727	-0.1803	-0.0923	0.7793596688119493	0.9958970300880995	False
R-HSA-4085377	SUMOylation of SUMOylation proteins	CHI3L1	15	164	0.8745	0.1452	0.7294	0.29419326049135863	0.9958970300880995	False
R-HSA-4085377	SUMOylation of SUMOylation proteins	CD44	15	164	-0.2727	-0.1803	-0.0923	0.6562509420333893	0.9958970300880995	False
R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	CHI3L1	22	157	0.7624	0.1356	0.6268	0.1684173575429181	0.9958970300880995	False
R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	CD44	22	157	0.2739	-0.2227	0.4966	0.37839284031724163	0.9958970300880995	False
R-HSA-4570464	SUMOylation of RNA binding proteins	CHI3L1	19	160	0.8745	0.1452	0.7294	0.17970652977360324	0.9958970300880995	False
R-HSA-4570464	SUMOylation of RNA binding proteins	CD44	19	160	-0.1724	-0.2018	0.0293	0.36983583399865516	0.9958970300880995	False
R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	CHI3L1	39	140	-0.0531	0.1972	-0.2503	0.6916616438022606	0.9958970300880995	False
R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	CD44	39	140	-0.1724	-0.1904	0.018	0.7228370506830447	0.9958970300880995	False
R-HSA-1855229	IP6 and IP7 transport between cytosol and nucleus	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-1855229	IP6 and IP7 transport between cytosol and nucleus	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-1855196	IP3 and IP4 transport between cytosol and nucleus	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-1855196	IP3 and IP4 transport between cytosol and nucleus	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-9610379	HCMV Late Events	CHI3L1	22	157	0.4926	0.1547	0.3379	0.31756166934540886	0.9958970300880995	False
R-HSA-9610379	HCMV Late Events	CD44	22	157	-0.2407	-0.1808	-0.0599	0.8587782563790807	0.9958970300880995	False
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-1169408	ISG15 antiviral mechanism	CHI3L1	32	147	0.5169	0.1356	0.3813	0.197265639253966	0.9958970300880995	False
R-HSA-1169408	ISG15 antiviral mechanism	CD44	32	147	0.1695	-0.2	0.3695	0.3121124185854218	0.9958970300880995	False
R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-8874177	ATF6B (ATF6-beta) activates chaperones	CHI3L1	5	174	2.432	0.1452	2.2868	0.35747528346745955	0.9958970300880995	False
R-HSA-9609690	HCMV Early Events	CD44	30	149	-0.3276	-0.1488	-0.1788	0.40309833848371157	0.9958970300880995	False
R-HSA-180910	Vpr-mediated nuclear import of PICs	CHI3L1	14	165	0.4926	0.1547	0.3379	0.4439549285491148	0.9958970300880995	False
R-HSA-180910	Vpr-mediated nuclear import of PICs	CD44	14	165	-0.2908	-0.1798	-0.111	0.9037912760588149	0.9958970300880995	False
R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	CHI3L1	48	131	-0.0758	0.1726	-0.2484	0.8925104628751785	0.9958970300880995	False
R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	CD44	48	131	-0.0957	-0.2227	0.127	0.6473243214640327	0.9958970300880995	False
R-HSA-8874177	ATF6B (ATF6-beta) activates chaperones	CD44	5	174	-0.9665	-0.1761	-0.7904	0.1878775756660151	0.9958970300880995	False
R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	CD44	13	166	-0.3462	-0.1761	-0.1701	0.7450671190018188	0.9958970300880995	False
R-HSA-191859	snRNP Assembly	CHI3L1	18	161	0.3805	0.1547	0.2258	0.37362093871926916	0.9958970300880995	False
R-HSA-191859	snRNP Assembly	CD44	18	161	-0.0187	-0.2	0.1813	0.7280423473293931	0.9958970300880995	False
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	CHI3L1	28	151	0.9081	0.1356	0.7725	0.26535120454452554	0.9958970300880995	False
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	CD44	28	151	-0.2908	-0.1798	-0.111	0.574198003867222	0.9958970300880995	False
R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	CHI3L1	15	164	0.1107	0.157	-0.0464	0.5546159719229673	0.9958970300880995	False
R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	CD44	15	164	-0.309	-0.1761	-0.1329	0.9439722391684269	0.9958970300880995	False
