aliquot_barcode	true_mutation_count	case_barcode	timepoint
TCGA-06-0211-R1-03D-WXS-M22HJ0	15487	TCGA-06-0211	R1
TCGA-06-0211-R2-02D-WXS-KTDRP8	15487	TCGA-06-0211	R2
TCGA-06-0211-TP-01D-WGS-JJPE5C	15487	TCGA-06-0211	TP
TCGA-06-0211-TP-01D-WXS-AS2XJL	15487	TCGA-06-0211	TP
TCGA-06-0221-NB-01D-WGS-31CJL9	12738	TCGA-06-0221	NB
TCGA-06-0221-NB-01D-WXS-TPOPN8	12738	TCGA-06-0221	NB
TCGA-06-0221-R1-02D-WXS-6RGOIL	12738	TCGA-06-0221	R1
TCGA-06-0221-R1-11D-WGS-XGUB7X	12738	TCGA-06-0221	R1
TCGA-06-0221-R1-11D-WXS-UAUEGN	12738	TCGA-06-0221	R1
TCGA-06-0221-TP-01D-WGS-0LWP9U	12738	TCGA-06-0221	TP
TCGA-06-0221-TP-01D-WXS-9K3HSY	12738	TCGA-06-0221	TP
TCGA-06-0221-TP-02D-WXS-PKKKW4	12738	TCGA-06-0221	TP
TCGA-14-0736-NB-01D-WXS-GQV6SU	194	TCGA-14-0736	NB
TCGA-14-0736-R1-01D-WXS-ACUYOJ	194	TCGA-14-0736	R1
TCGA-14-0736-TP-01D-WXS-GUOP0E	194	TCGA-14-0736	TP
TCGA-14-1034-NB-01D-WGS-S6YHXW	17837	TCGA-14-1034	NB
TCGA-14-1034-NB-01D-WXS-0QNJWH	17837	TCGA-14-1034	NB
TCGA-14-1034-R1-01D-WGS-L9V6H0	17837	TCGA-14-1034	R1
TCGA-14-1034-R1-01D-WXS-NUKYNI	17837	TCGA-14-1034	R1
TCGA-14-1034-TP-01D-WGS-2521IS	17837	TCGA-14-1034	TP
TCGA-14-1034-TP-01D-WXS-B0AXT9	17837	TCGA-14-1034	TP
TCGA-14-1402-NB-01D-WGS-PVBYZ1	294495	TCGA-14-1402	NB
TCGA-14-1402-NB-01D-WXS-Z9C1LX	294495	TCGA-14-1402	NB
TCGA-14-1402-R1-01D-WGS-2EHMQ2	294495	TCGA-14-1402	R1
TCGA-14-1402-R1-01D-WXS-QGNTYA	294495	TCGA-14-1402	R1
TCGA-14-1402-R1-02D-WXS-M1J3PC	294495	TCGA-14-1402	R1
TCGA-14-1402-TP-01D-WGS-WT36NV	294495	TCGA-14-1402	TP
TCGA-14-1402-TP-02D-WXS-EY7S1Q	294495	TCGA-14-1402	TP
TCGA-19-0957-NB-01D-WXS-GL3PM5	783	TCGA-19-0957	NB
TCGA-19-0957-R1-11D-WXS-PQFJEA	783	TCGA-19-0957	R1
TCGA-19-0957-TP-01D-WXS-H59SRY	783	TCGA-19-0957	TP
TCGA-19-0957-TP-02D-WXS-2GJCQI	783	TCGA-19-0957	TP
TCGA-19-1389-NB-01D-WGS-9GQZBY	9501	TCGA-19-1389	NB
TCGA-19-1389-NB-01D-WXS-G6T3X8	9501	TCGA-19-1389	NB
TCGA-19-1389-R1-02D-WXS-TWOEYE	9501	TCGA-19-1389	R1
TCGA-19-1389-R1-21D-WGS-1NPCYQ	9501	TCGA-19-1389	R1
TCGA-19-1389-R1-21D-WXS-YNQ3L5	9501	TCGA-19-1389	R1
TCGA-19-1389-TP-01D-WGS-VPHT0Z	9501	TCGA-19-1389	TP
TCGA-19-1389-TP-01D-WXS-OB8O0T	9501	TCGA-19-1389	TP
TCGA-19-4065-NB-01D-WXS-OOP6QZ	343	TCGA-19-4065	NB
TCGA-19-4065-R1-02D-WXS-X3LRVW	343	TCGA-19-4065	R1
TCGA-19-4065-R1-11D-WXS-ET7919	343	TCGA-19-4065	R1
TCGA-19-4065-TP-01D-WXS-FK6Q8U	343	TCGA-19-4065	TP
TCGA-19-4065-TP-02D-WXS-J38ABH	343	TCGA-19-4065	TP
TCGA-DH-A669-NB-01D-WGS-DS2MCL	14331	TCGA-DH-A669	NB
TCGA-DH-A669-NB-01D-WXS-MM6SRY	14331	TCGA-DH-A669	NB
TCGA-DH-A669-R1-11D-WGS-A9RS5I	14331	TCGA-DH-A669	R1
TCGA-DH-A669-R1-11D-WXS-DVQOHB	14331	TCGA-DH-A669	R1
TCGA-DH-A669-TP-12D-WGS-LX89QR	14331	TCGA-DH-A669	TP
TCGA-DH-A669-TP-12D-WXS-EFVDA0	14331	TCGA-DH-A669	TP
TCGA-DU-5870-NB-01D-WGS-X7S81V	9351	TCGA-DU-5870	NB
TCGA-DU-5870-NB-01D-WXS-FIBU5N	9351	TCGA-DU-5870	NB
TCGA-DU-5870-R1-12D-WGS-UNYI3Z	9351	TCGA-DU-5870	R1
TCGA-DU-5870-R1-12D-WXS-VABWLK	9351	TCGA-DU-5870	R1
TCGA-DU-5870-TP-11D-WGS-BQPWUS	9351	TCGA-DU-5870	TP
TCGA-DU-5870-TP-11D-WXS-LMTCYR	9351	TCGA-DU-5870	TP
TCGA-DU-5872-NB-01D-WGS-UDBTGB	9072	TCGA-DU-5872	NB
TCGA-DU-5872-NB-01D-WXS-AGCHHT	9072	TCGA-DU-5872	NB
TCGA-DU-5872-R1-21D-WGS-FF05FR	9072	TCGA-DU-5872	R1
TCGA-DU-5872-R1-21D-WXS-GXUHO1	9072	TCGA-DU-5872	R1
TCGA-DU-5872-TP-11D-WGS-WTQAIF	9072	TCGA-DU-5872	TP
TCGA-DU-5872-TP-11D-WXS-9CEQT3	9072	TCGA-DU-5872	TP
TCGA-DU-6397-NB-01D-WGS-TCU1YQ	11757	TCGA-DU-6397	NB
TCGA-DU-6397-NB-01D-WXS-S9KQPW	11757	TCGA-DU-6397	NB
TCGA-DU-6397-R1-12D-WGS-TX5QZZ	11757	TCGA-DU-6397	R1
TCGA-DU-6397-R1-12D-WXS-0EDX5N	11757	TCGA-DU-6397	R1
TCGA-DU-6397-TP-11D-WGS-OXOUDE	11757	TCGA-DU-6397	TP
TCGA-DU-6397-TP-11D-WXS-ZZXZ4F	11757	TCGA-DU-6397	TP
TCGA-DU-6404-NB-01D-WGS-DY41IK	20905	TCGA-DU-6404	NB
TCGA-DU-6404-NB-01D-WXS-5PZXBQ	20905	TCGA-DU-6404	NB
TCGA-DU-6404-R1-21D-WGS-QTV17D	20905	TCGA-DU-6404	R1
TCGA-DU-6404-R1-21D-WXS-ZOOJ7F	20905	TCGA-DU-6404	R1
TCGA-DU-6404-R2-11D-WGS-9OCYC1	20905	TCGA-DU-6404	R2
TCGA-DU-6404-R2-11D-WXS-CCY5XQ	20905	TCGA-DU-6404	R2
TCGA-DU-6404-TP-11D-WGS-7DHU4O	20905	TCGA-DU-6404	TP
TCGA-DU-6404-TP-11D-WXS-Y06ZOW	20905	TCGA-DU-6404	TP
TCGA-DU-6407-NB-01D-WGS-XCIM8I	178180	TCGA-DU-6407	NB
TCGA-DU-6407-NB-01D-WXS-YKWM50	178180	TCGA-DU-6407	NB
TCGA-DU-6407-R1-12D-WGS-V765KQ	178180	TCGA-DU-6407	R1
TCGA-DU-6407-R1-12D-WXS-MN1HI8	178180	TCGA-DU-6407	R1
TCGA-DU-6407-R2-11D-WGS-C4L105	178180	TCGA-DU-6407	R2
TCGA-DU-6407-R2-11D-WXS-0SX16B	178180	TCGA-DU-6407	R2
TCGA-DU-6407-TP-13D-WGS-XX8PCJ	178180	TCGA-DU-6407	TP
TCGA-DU-6407-TP-13D-WXS-H4GGSN	178180	TCGA-DU-6407	TP
TCGA-DU-7304-NB-01D-WGS-WPQHV5	14457	TCGA-DU-7304	NB
TCGA-DU-7304-NB-01D-WXS-LIDVDZ	14457	TCGA-DU-7304	NB
TCGA-DU-7304-R1-12D-WGS-TNHHDG	14457	TCGA-DU-7304	R1
TCGA-DU-7304-R1-12D-WXS-WGFU0U	14457	TCGA-DU-7304	R1
TCGA-DU-7304-TP-12D-WGS-KB0230	14457	TCGA-DU-7304	TP
TCGA-DU-7304-TP-12D-WXS-2RI95C	14457	TCGA-DU-7304	TP
TCGA-FG-5963-NB-01D-WXS-XHOOQ9	96	TCGA-FG-5963	NB
TCGA-FG-5963-R1-12D-WXS-XI05S1	96	TCGA-FG-5963	R1
TCGA-FG-5963-TP-11D-WXS-BX105O	96	TCGA-FG-5963	TP
TCGA-FG-5965-NB-01D-WGS-F8YGR5	17408	TCGA-FG-5965	NB
TCGA-FG-5965-NB-01D-WXS-NW627P	17408	TCGA-FG-5965	NB
TCGA-FG-5965-R1-11D-WGS-YWHSSO	17408	TCGA-FG-5965	R1
TCGA-FG-5965-R1-11D-WXS-10UZ0F	17408	TCGA-FG-5965	R1
TCGA-FG-5965-R2-11D-WGS-CEY3XC	17408	TCGA-FG-5965	R2
TCGA-FG-5965-R2-11D-WXS-34FYRV	17408	TCGA-FG-5965	R2
TCGA-FG-5965-TP-11D-WGS-YPJ8SN	17408	TCGA-FG-5965	TP
TCGA-FG-5965-TP-11D-WXS-00A7KM	17408	TCGA-FG-5965	TP
TCGA-FG-A4MT-NB-01D-WGS-W7DORI	7789	TCGA-FG-A4MT	NB
TCGA-FG-A4MT-NB-01D-WXS-82UQJ9	7789	TCGA-FG-A4MT	NB
TCGA-FG-A4MT-R1-11D-WGS-1EGEOR	7789	TCGA-FG-A4MT	R1
TCGA-FG-A4MT-R1-11D-WXS-HH7X54	7789	TCGA-FG-A4MT	R1
TCGA-FG-A4MT-TP-11D-WGS-CKF1QJ	7789	TCGA-FG-A4MT	TP
TCGA-FG-A4MT-TP-11D-WXS-RN1S3I	7789	TCGA-FG-A4MT	TP
TCGA-TM-A7CF-NB-01D-WGS-XPQG4S	6949	TCGA-TM-A7CF	NB
TCGA-TM-A7CF-NB-01D-WXS-FL6LTI	6949	TCGA-TM-A7CF	NB
TCGA-TM-A7CF-R1-11D-WGS-R1PAAT	6949	TCGA-TM-A7CF	R1
TCGA-TM-A7CF-R1-11D-WXS-4PZL6G	6949	TCGA-TM-A7CF	R1
TCGA-TM-A7CF-TP-11D-WGS-RON2FJ	6949	TCGA-TM-A7CF	TP
TCGA-TM-A7CF-TP-11D-WXS-S9DTP5	6949	TCGA-TM-A7CF	TP
TCGA-TQ-A7RK-NB-01D-WGS-2ITLFK	13428	TCGA-TQ-A7RK	NB
TCGA-TQ-A7RK-NB-01D-WXS-GG42AJ	13428	TCGA-TQ-A7RK	NB
TCGA-TQ-A7RK-R1-11D-WGS-CF4MA8	13428	TCGA-TQ-A7RK	R1
TCGA-TQ-A7RK-R1-11D-WXS-DW82J0	13428	TCGA-TQ-A7RK	R1
TCGA-TQ-A7RK-R2-11D-WGS-1Z719P	13428	TCGA-TQ-A7RK	R2
TCGA-TQ-A7RK-TP-11D-WGS-HWJ4F6	13428	TCGA-TQ-A7RK	TP
TCGA-TQ-A7RK-TP-11D-WXS-6B1EKP	13428	TCGA-TQ-A7RK	TP
TCGA-TQ-A7RV-NB-01D-WGS-TIIFD4	7120	TCGA-TQ-A7RV	NB
TCGA-TQ-A7RV-NB-01D-WXS-HM8IV1	7120	TCGA-TQ-A7RV	NB
TCGA-TQ-A7RV-R1-11D-WGS-CWZQZJ	7120	TCGA-TQ-A7RV	R1
TCGA-TQ-A7RV-R1-11D-WXS-CHU5VI	7120	TCGA-TQ-A7RV	R1
TCGA-TQ-A7RV-TP-21D-WGS-TR9682	7120	TCGA-TQ-A7RV	TP
TCGA-TQ-A7RV-TP-21D-WXS-IODOZZ	7120	TCGA-TQ-A7RV	TP
TCGA-TQ-A8XE-NB-01D-WGS-K36LRV	8779	TCGA-TQ-A8XE	NB
TCGA-TQ-A8XE-NB-01D-WXS-72N05Q	8779	TCGA-TQ-A8XE	NB
TCGA-TQ-A8XE-R1-11D-WGS-M2U7J4	8779	TCGA-TQ-A8XE	R1
TCGA-TQ-A8XE-R1-11D-WXS-N53TK5	8779	TCGA-TQ-A8XE	R1
CARE-MD-MD01-NB-01D-WXS-3L2ZZ8	1420	CARE-MD-MD01	NB
CARE-MD-MD01-R1-01D-WXS-TBMN64	1420	CARE-MD-MD01	R1
CARE-MD-MD01-TP-01D-WXS-B7IDEV	1420	CARE-MD-MD01	TP
CARE-MD-MD02-NB-01D-WXS-3NM1WS	499	CARE-MD-MD02	NB
CARE-MD-MD02-R1-01D-WXS-OYF6VY	499	CARE-MD-MD02	R1
CARE-MD-MD02-TP-01D-WXS-48Y504	499	CARE-MD-MD02	TP
CARE-MD-MD03-NB-01D-WXS-RE5E5Q	689	CARE-MD-MD03	NB
CARE-MD-MD03-R1-01D-WXS-5N7WQ7	689	CARE-MD-MD03	R1
CARE-MD-MD03-R2-01D-WXS-K3WXX0	689	CARE-MD-MD03	R2
CARE-MD-MD04-NB-01D-WXS-2H471D	455	CARE-MD-MD04	NB
CARE-MD-MD04-R1-01D-WXS-5KX09H	455	CARE-MD-MD04	R1
CARE-MD-MD04-TP-01D-WXS-J1V11D	455	CARE-MD-MD04	TP
CARE-MD-MD05-NB-01D-WXS-QRP0M6	15612	CARE-MD-MD05	NB
CARE-MD-MD05-R2-01D-WXS-Y122VY	15612	CARE-MD-MD05	R2
CARE-MD-MD05-TP-01D-WXS-K9CF1W	15612	CARE-MD-MD05	TP
CARE-MD-MD06-NB-01D-WXS-EEHHMI	580	CARE-MD-MD06	NB
CARE-MD-MD06-R1-01D-WXS-AI6H5N	580	CARE-MD-MD06	R1
CARE-MD-MD06-TP-01D-WXS-HJUJNC	580	CARE-MD-MD06	TP
CARE-MD-MD07-NB-01D-WXS-NVA0LW	373	CARE-MD-MD07	NB
CARE-MD-MD07-R1-01D-WXS-S9K78J	373	CARE-MD-MD07	R1
CARE-MD-MD07-TP-01D-WXS-VC0XGZ	373	CARE-MD-MD07	TP
CARE-MD-MD09-NB-01D-WXS-JHHK4M	477	CARE-MD-MD09	NB
CARE-MD-MD09-R1-01D-WXS-H9591D	477	CARE-MD-MD09	R1
CARE-MD-MD09-TP-01D-WXS-UIYA69	477	CARE-MD-MD09	TP
CARE-MD-MD11-NB-01D-WXS-XO8IDT	379	CARE-MD-MD11	NB
CARE-MD-MD11-R1-01D-WXS-NLGJ03	379	CARE-MD-MD11	R1
CARE-MD-MD11-TP-01D-WXS-S24H90	379	CARE-MD-MD11	TP
CARE-MD-MD12-NB-01D-WXS-T5HHES	443	CARE-MD-MD12	NB
CARE-MD-MD12-R1-01D-WXS-THJAKB	443	CARE-MD-MD12	R1
CARE-MD-MD12-TP-01D-WXS-29CF2X	443	CARE-MD-MD12	TP
CARE-PS-FR01-NB-01D-WXS-AT6IT3	640	CARE-PS-FR01	NB
CARE-PS-FR01-R1-01D-WXS-CHGJES	640	CARE-PS-FR01	R1
CARE-PS-FR01-TP-01D-WXS-ZSR6HI	640	CARE-PS-FR01	TP
CARE-PS-FR02-NB-01D-WXS-N7EQ33	377	CARE-PS-FR02	NB
CARE-PS-FR02-R1-01D-WXS-Z7XLY9	377	CARE-PS-FR02	R1
CARE-PS-FR02-TP-01D-WXS-CPJMB7	377	CARE-PS-FR02	TP
CARE-PS-FR03-NB-01D-WXS-CK7M20	686	CARE-PS-FR03	NB
CARE-PS-FR03-R1-01D-WXS-YIGKHB	686	CARE-PS-FR03	R1
CARE-PS-FR03-R2-01D-WXS-K0743M	686	CARE-PS-FR03	R2
CARE-PS-FR04-NB-01D-WXS-QD3521	618	CARE-PS-FR04	NB
CARE-PS-FR04-R1-01D-WXS-95SIV0	618	CARE-PS-FR04	R1
CARE-PS-FR04-TP-01D-WXS-ELWNZ7	618	CARE-PS-FR04	TP
CARE-PS-FR05-NB-01D-WXS-IDCWCM	444	CARE-PS-FR05	NB
CARE-PS-FR05-R1-01D-WXS-65ID91	444	CARE-PS-FR05	R1
CARE-PS-FR05-TP-01D-WXS-1IVQO0	444	CARE-PS-FR05	TP
CARE-PS-FR06-NB-01D-WXS-94Y2UR	317	CARE-PS-FR06	NB
CARE-PS-FR06-R1-01D-WXS-SDE4K6	317	CARE-PS-FR06	R1
CARE-PS-FR06-TP-01D-WXS-FKYGFE	317	CARE-PS-FR06	TP
CARE-PS-FR07-NB-01D-WXS-CCZ2EN	382	CARE-PS-FR07	NB
CARE-PS-FR07-R1-01D-WXS-HWNFNP	382	CARE-PS-FR07	R1
CARE-PS-FR07-TP-01D-WXS-SVWJ0Q	382	CARE-PS-FR07	TP
CARE-PS-FR08-NB-01D-WXS-PX81HN	17281	CARE-PS-FR08	NB
CARE-PS-FR08-R1-01D-WXS-2GIK8S	17281	CARE-PS-FR08	R1
CARE-PS-FR08-TP-01D-WXS-LD7YVY	17281	CARE-PS-FR08	TP
CARE-PS-FR15-NB-01D-WXS-MWI8BR	615	CARE-PS-FR15	NB
CARE-PS-FR15-R1-01D-WXS-RNMPA2	615	CARE-PS-FR15	R1
CARE-PS-FR15-R2-01D-WXS-VGJNTF	615	CARE-PS-FR15	R2
CARE-PT-DU01-NB-01D-WXS-1AW4FE	526	CARE-PT-DU01	NB
CARE-PT-DU01-R1-01D-WXS-DC75DQ	526	CARE-PT-DU01	R1
CARE-PT-DU01-TP-01D-WXS-J2NHPU	526	CARE-PT-DU01	TP
CARE-PT-DU02-NB-01D-WXS-QQZUZB	732	CARE-PT-DU02	NB
CARE-PT-DU02-R1-01D-WXS-LTCUIU	732	CARE-PT-DU02	R1
CARE-PT-DU02-TP-01D-WXS-F0WSS5	732	CARE-PT-DU02	TP
CARE-PT-DU03-NB-01D-WXS-FFN2CG	529	CARE-PT-DU03	NB
CARE-PT-DU03-R1-01D-WXS-150G12	529	CARE-PT-DU03	R1
CARE-PT-DU03-TP-01D-WXS-XFUVM2	529	CARE-PT-DU03	TP
CARE-PT-DU04-NB-01D-WXS-Q58B1I	490	CARE-PT-DU04	NB
CARE-PT-DU04-R1-01D-WXS-WLS805	490	CARE-PT-DU04	R1
CARE-PT-DU04-TP-01D-WXS-N18QEW	490	CARE-PT-DU04	TP
CARE-PT-DU05-NB-01D-WXS-ROY188	394	CARE-PT-DU05	NB
CARE-PT-DU05-R1-01D-WXS-I00DOZ	394	CARE-PT-DU05	R1
CARE-PT-DU05-TP-01D-WXS-RSBQJD	394	CARE-PT-DU05	TP
CARE-PT-DU06-NB-01D-WXS-60OC7U	352	CARE-PT-DU06	NB
CARE-PT-DU06-R1-01D-WXS-EUM2JI	352	CARE-PT-DU06	R1
CARE-PT-DU06-TP-01D-WXS-NQAJQJ	352	CARE-PT-DU06	TP
CARE-TK-TK01-NB-01D-WXS-5SH015	905	CARE-TK-TK01	NB
CARE-TK-TK01-R1-01D-WXS-1ROZJQ	905	CARE-TK-TK01	R1
CARE-TK-TK01-R2-01D-WXS-J60B3L	905	CARE-TK-TK01	R2
CARE-TK-TK01-TP-01D-WXS-E3QHZZ	905	CARE-TK-TK01	TP
CARE-TK-TK02-NB-01D-WXS-SRUQEN	721	CARE-TK-TK02	NB
CARE-TK-TK02-R1-01D-WXS-XPESKD	721	CARE-TK-TK02	R1
CARE-TK-TK02-TP-01D-WXS-QR7QUW	721	CARE-TK-TK02	TP
CARE-TK-TK03-NB-01D-WXS-0KMR4V	533	CARE-TK-TK03	NB
CARE-TK-TK03-R1-01D-WXS-FQTXLF	533	CARE-TK-TK03	R1
CARE-TK-TK03-TP-01D-WXS-7RMCSX	533	CARE-TK-TK03	TP
CARE-TK-TK04-NB-01D-WXS-D8CZYC	303	CARE-TK-TK04	NB
CARE-TK-TK04-R1-01D-WXS-TG719Y	303	CARE-TK-TK04	R1
CARE-TK-TK04-TP-01D-WXS-7J8D4G	303	CARE-TK-TK04	TP
CARE-TK-TK05-NB-01D-WXS-LV9KMF	271	CARE-TK-TK05	NB
CARE-TK-TK05-R1-01D-WXS-6LPEAD	271	CARE-TK-TK05	R1
CARE-TK-TK05-TP-01D-WXS-21DK7N	271	CARE-TK-TK05	TP
CARE-TK-TK07-NB-01D-WXS-9G6TC0	347	CARE-TK-TK07	NB
CARE-TK-TK07-R1-01D-WXS-56WA4V	347	CARE-TK-TK07	R1
CARE-TK-TK07-TP-01D-WXS-AGZ3WJ	347	CARE-TK-TK07	TP
CARE-TK-TK08-NB-01D-WXS-WB46KB	630	CARE-TK-TK08	NB
CARE-TK-TK08-R1-01D-WXS-PY7UEO	630	CARE-TK-TK08	R1
CARE-TK-TK08-TP-01D-WXS-LEXBT5	630	CARE-TK-TK08	TP
CARE-TK-TK09-NB-01D-WXS-6TKFJI	399	CARE-TK-TK09	NB
CARE-TK-TK09-R1-01D-WXS-5VCE2R	399	CARE-TK-TK09	R1
CARE-TK-TK09-TP-01D-WXS-L30XMT	399	CARE-TK-TK09	TP
CARE-TK-TK10-NB-01D-WXS-UROQ2J	457	CARE-TK-TK10	NB
CARE-TK-TK10-R1-01D-WXS-OSA3JV	457	CARE-TK-TK10	R1
CARE-TK-TK10-TP-01D-WXS-NQX6OC	457	CARE-TK-TK10	TP
CARE-TK-TK11-NB-01D-WXS-XW638S	11734	CARE-TK-TK11	NB
CARE-TK-TK11-R1-01D-WXS-CTUYR5	11734	CARE-TK-TK11	R1
CARE-TK-TK11-TP-01D-WXS-DTC4P3	11734	CARE-TK-TK11	TP
TCGA-TQ-A8XE-TP-11D-WGS-MF1R7Z	8779	TCGA-TQ-A8XE	TP
TCGA-TQ-A8XE-TP-11D-WXS-UOHP3W	8779	TCGA-TQ-A8XE	TP
CARE-TK-TK12-NB-01D-WXS-KUUDFI	500	CARE-TK-TK12	NB
CARE-TK-TK12-R1-01D-WXS-YHZLSW	500	CARE-TK-TK12	R1
CARE-TK-TK12-TP-01D-WXS-NRUIJO	500	CARE-TK-TK12	TP
CARE-TK-TK13-NB-01D-WXS-CSV9VB	666	CARE-TK-TK13	NB
CARE-TK-TK13-R1-01D-WXS-735B8E	666	CARE-TK-TK13	R1
CARE-TK-TK13-R2-01D-WXS-MDKCRJ	666	CARE-TK-TK13	R2
CARE-TK-TK13-TP-01D-WXS-P2O6G8	666	CARE-TK-TK13	TP
CARE-TK-TK14-NB-01D-WXS-MLMMZ4	1877	CARE-TK-TK14	NB
CARE-TK-TK14-R1-01D-WXS-AL257F	1877	CARE-TK-TK14	R1
CARE-TK-TK14-TP-01D-WXS-I8JS9X	1877	CARE-TK-TK14	TP
CARE-TO-SM01-NB-01D-WXS-B0N0ZR	287	CARE-TO-SM01	NB
CARE-TO-SM01-R1-01D-WXS-1JZKFR	287	CARE-TO-SM01	R1
CARE-TO-SM01-TP-01D-WXS-81B02J	287	CARE-TO-SM01	TP
CARE-TO-SM02-NB-01D-WXS-WBB4IE	375	CARE-TO-SM02	NB
CARE-TO-SM02-R1-01D-WXS-IS4Z60	375	CARE-TO-SM02	R1
CARE-TO-SM02-TP-01D-WXS-YDNDU3	375	CARE-TO-SM02	TP
CARE-TO-SM03-NB-01D-WXS-552XT8	637	CARE-TO-SM03	NB
CARE-TO-SM03-R1-01D-WXS-O044J7	637	CARE-TO-SM03	R1
CARE-TO-SM03-TP-01D-WXS-E55Z85	637	CARE-TO-SM03	TP
CARE-TO-SM04-NB-01D-WXS-L7GPVM	534	CARE-TO-SM04	NB
CARE-TO-SM04-R2-01D-WXS-2GIDTW	534	CARE-TO-SM04	R2
CARE-TO-SM04-TP-01D-WXS-ARUM75	534	CARE-TO-SM04	TP
CARE-TO-SM05-NB-01D-WXS-C18H5A	377	CARE-TO-SM05	NB
CARE-TO-SM05-R1-01D-WXS-JLL9WJ	377	CARE-TO-SM05	R1
CARE-TO-SM05-TP-01D-WXS-U8B0J4	377	CARE-TO-SM05	TP
CARE-TO-SM06-NB-01D-WXS-2UYPY9	69257	CARE-TO-SM06	NB
CARE-TO-SM06-R1-01D-WXS-DPOJBK	69257	CARE-TO-SM06	R1
CARE-TO-SM06-TP-01D-WXS-QIS1HH	69257	CARE-TO-SM06	TP
CARE-TO-SM07-NB-01D-WXS-OGKOK8	337	CARE-TO-SM07	NB
CARE-TO-SM07-R1-01D-WXS-WO191D	337	CARE-TO-SM07	R1
CARE-TO-SM07-TP-01D-WXS-D2XXRU	337	CARE-TO-SM07	TP
GLSS-19-0266-NB-01D-WXS-GGPQS4	581	GLSS-19-0266	NB
GLSS-19-0266-R1-01D-WXS-0AUVTN	581	GLSS-19-0266	R1
GLSS-19-0266-TP-01D-WXS-F78XXN	581	GLSS-19-0266	TP
GLSS-19-0267-NB-01D-WXS-RXL9E0	214	GLSS-19-0267	NB
GLSS-19-0267-R1-01D-WXS-2AVAZ0	214	GLSS-19-0267	R1
GLSS-19-0267-TP-01D-WXS-CS4K8X	214	GLSS-19-0267	TP
GLSS-19-0268-NB-01D-WXS-C7TEK2	506	GLSS-19-0268	NB
GLSS-19-0268-R1-01D-WXS-KDBRYM	506	GLSS-19-0268	R1
GLSS-19-0268-TP-01D-WXS-QGO6RP	506	GLSS-19-0268	TP
GLSS-19-0269-NB-01D-WXS-PCRBCT	364	GLSS-19-0269	NB
GLSS-19-0269-R1-01D-WXS-BMTNI5	364	GLSS-19-0269	R1
GLSS-19-0269-TP-01D-WXS-G5IWER	364	GLSS-19-0269	TP
GLSS-19-0270-NB-01D-WXS-XPLJZZ	351	GLSS-19-0270	NB
GLSS-19-0270-R1-01D-WXS-4TBSF2	351	GLSS-19-0270	R1
GLSS-19-0270-TP-01D-WXS-I69BAL	351	GLSS-19-0270	TP
